quartil,periodo,grupo_origem,alvo,peso,n,pct_da_origem
Todos,pre,2,G3,1955037.7401757601,3629,4.000060878438228
Todos,pre,2,G4,1239914.36052577,2474,2.5368988149083
Todos,pre,2,G5,1342746.93942984,2717,2.747297093903212
Todos,pre,2,G6,56980.39740728,162,0.11658345709798577
Todos,pre,2,G7,443809.28515306,844,0.9080459791373607
Todos,pre,2,G8,200930.10521807,339,0.411108510422424
Todos,pre,2,G9,197156.84562775,413,0.403388317731886
Todos,pre,3,Desocupado,794258.33665817,1520,2.3694353744510375
Todos,pre,3,Fora da força de trabalho,1098520.49960452,2499,3.277111754689446
Todos,pre,3,G0,32993.172757,83,0.0984253951613917
Todos,pre,3,G1,1107494.35993868,1938,3.30388261895334
Todos,pre,3,G2,1975455.11536852,3669,5.893187411401255
Todos,pre,3,G3,21626618.97026658,42778,64.51663602742546
Todos,pre,3,G4,2060437.48793032,4300,6.146707242996508
Todos,pre,3,G5,1907175.80762008,3860,5.689496244868606
Todos,pre,3,G6,76483.67087359,224,0.228166462939814
Todos,pre,3,G7,1739122.48827399,3213,5.188158756454036
Todos,pre,3,G8,566516.23116815,1113,1.690034005784947
Todos,pre,3,G9,535919.84121758,1107,1.598758704874156
Todos,pre,4,Desocupado,1062910.46916587,1893,3.1557425603043154
Todos,pre,4,Fora da força de trabalho,1144830.35954077,2685,3.39895973812966
Todos,pre,4,G0,31340.56022852,68,0.0930489845062268
Todos,pre,4,G1,986304.53805552,1986,2.9283023344437247
Todos,pre,4,G2,1261450.11595342,2517,3.7451995573427785
Todos,pre,4,G3,2144570.81618176,4319,6.367152826636824
Todos,pre,4,G4,22926352.20553999,45214,68.0675066304751
Todos,pre,4,G5,2020036.36954785,4237,5.997414579750437
Todos,pre,4,G6,47082.31120988,117,0.1397856711667453
Todos,pre,4,G7,575737.60261027,1041,1.7093440217505969
Todos,pre,4,G8,443877.19266895,908,1.3178552560057732
Todos,pre,4,G9,1037293.88053719,2144,3.0796878394878267
Todos,pre,5,Desocupado,3471221.46750703,7095,3.829085127327904
Todos,pre,5,Fora da força de trabalho,6323525.67724648,15944,6.97544606406522
Todos,pre,5,G0,70258.32031455,154,0.07750156303933337
Todos,pre,5,G1,1892390.40568225,3980,2.0874853492710046
Todos,pre,5,G2,1337958.56091437,2711,1.4758946597140115
Todos,pre,5,G3,1916688.13776271,3885,2.1142880426191493
Todos,pre,5,G4,2095364.20453123,4275,2.3113846197972525
Todos,pre,5,G5,65487282.8973597,138523,72.23865815495887
Todos,pre,5,G6,435073.81691798,1503,0.4799275117547787
Todos,pre,5,G7,2527081.55295346,5441,2.787609629790698
Todos,pre,5,G8,1059484.5388786,2232,1.1687115121950065
Todos,pre,5,G9,4037739.26612085,9424,4.454007765466759
Todos,pre,6,Desocupado,475766.53014054,1606,2.0139426811586736
Todos,pre,6,Fora da força de trabalho,2704317.1798983198,12448,11.447505124791046
Todos,pre,6,G0,3026.07733578,19,0.01280953139182367
Todos,pre,6,G1,140624.5870756,459,0.5952706632141733
Todos,pre,6,G2,59486.84405461,175,0.25181068154083835
Todos,pre,6,G3,68439.31236832,220,0.2897069119321928
Todos,pre,6,G4,53245.66658311,161,0.2253914761233684
Todos,pre,6,G5,443026.34368362,1578,1.8753518919427805
Todos,pre,6,G6,16598016.21251656,71124,70.26020359834132
Todos,pre,6,G7,422717.10243654,1547,1.7893818936804808
Todos,pre,6,G8,387559.7100915,1409,1.6405589552930293
Todos,pre,6,G9,2267412.51406211,8711,9.598066590590268
Todos,pre,7,Desocupado,2196570.66696127,4648,4.053899216642435
Todos,pre,7,Fora da força de trabalho,3176381.91404278,8189,5.862197991976676
Todos,pre,7,G0,14151.69627435,30,0.02611778045826043
Todos,pre,7,G1,511343.6208748,1022,0.9437144614915355
Todos,pre,7,G2,477625.78213526,883,0.8814862244905417
Todos,pre,7,G3,1712165.99656689,3243,3.1599021586892166
Todos,pre,7,G4,578881.50445391,1064,1.0683595628093114
Todos,pre,7,G5,2541309.98861994,5660,4.690135731605679
Todos,pre,7,G6,415444.38677624,1493,0.7667268344435155
Todos,pre,7,G7,37299539.00807526,77257,68.83847364452963
Todos,pre,7,G8,2438837.99729572,4949,4.501017697933799
Todos,pre,7,G9,2821893.35708479,6569,5.2079686949294155
Todos,pre,8,Desocupado,987310.55885736,2048,2.831741432608844
Todos,pre,8,Fora da força de trabalho,1301696.46493417,3497,3.7334431191544586
Todos,pre,8,G0,15473.9820346,33,0.04438149239033135
Todos,pre,8,G1,230582.51502344,480,0.6613421233767642
Todos,pre,8,G2,174313.03480824,335,0.49995357436625376
Todos,pre,8,G3,557015.43959418,1046,1.5975963031603202
Todos,pre,8,G4,484214.07276506,910,1.3887920470413921
Todos,pre,8,G5,1011772.19455355,2113,2.901900742350706
Todos,pre,8,G6,388239.37007331,1361,1.1135235009325803
Todos,pre,8,G7,2286368.52810699,4729,6.557616986033712
Todos,pre,8,G8,25572047.64344367,53246,73.34412275747634
Todos,pre,8,G9,1856810.49528883,4209,5.3255859211083045
Todos,pre,9,Desocupado,3597906.63097347,8450,5.481304395444508
Todos,pre,9,Fora da força de trabalho,5761531.10849063,17178,8.777522328564514
Todos,pre,9,G0,20670.40460376,56,0.031490750381021074
Todos,pre,9,G1,244959.20168091,516,0.37318810258143414
Todos,pre,9,G2,212531.79985202,436,0.3237859144736654
Todos,pre,9,G3,557671.83909694,1173,0.849596561662475
Todos,pre,9,G4,1065367.88294008,2228,1.6230564765781244
Todos,pre,9,G5,4171623.45007498,9792,6.35534500984219
Todos,pre,9,G6,2253643.34666975,8681,3.4333590192480616
Todos,pre,9,G7,2861857.36612355,6560,4.359955098619102
Todos,pre,9,G8,2026573.14864884,4467,3.0874242849301474
Todos,pre,9,G9,42865270.2248185,103029,65.30397205767476
Q1,pos,2,Desocupado,1273.79883461,2,6.105154866415954
Q1,pos,2,Fora da força de trabalho,135.67380501,1,0.6502671916445699
Q1,pos,2,G2,15263.99512743,24,73.15837603330075
Q1,pos,2,G3,686.55926459,2,3.2905907286199763
Q1,pos,2,G5,1334.93011088,2,6.398149253496136
Q1,pos,2,G7,1305.58990189,2,6.257525385087745
Q1,pos,2,G8,587.06390047,1,2.8137221761149616
Q1,pos,2,G9,276.70556275,1,1.3262143653198986
Q1,pos,3,Desocupado,7741.94738367,13,3.193466593442181
Q1,pos,3,Fora da força de trabalho,20845.91944292,40,8.598708316071583
Q1,pos,3,G0,473.57690665,2,0.19534517038987476
Q1,pos,3,G1,3160.98494194,3,1.30387088857661
Q1,pos,3,G2,3500.46726369,6,1.4439035444248718
Q1,pos,3,G3,117395.5182601,199,48.42433656604672
Q1,pos,3,G4,7184.05159319,9,2.963340827762366
Q1,pos,3,G5,5352.34675782,13,2.2077830964945373
Q1,pos,3,G6,1406.71301155,2,0.5802533634393986
Q1,pos,3,G7,22504.07437541,33,9.282678655992443
Q1,pos,3,G8,40651.32730706,46,16.76821725861958
